Horas(s)	Crifras Acumuladas
0.50	1.00938e+09
1.00	2.03910e+09
1.50	3.10216e+09
2.00	4.13959e+09
2.50	5.14173e+09
3.00	6.18257e+09
3.50	7.16017e+09
4.00	8.21649e+09
4.56	9.29023e+09
5.06	1.03368e+10
5.56	1.14042e+10
6.06	1.24467e+10
6.56	1.34946e+10
7.06	1.45205e+10
7.56	1.55250e+10
8.06	1.65815e+10
8.56	1.76112e+10
9.12	1.86850e+10
9.62	1.96913e+10
10.17	2.07650e+10
10.67	2.18027e+10
11.17	2.28454e+10
11.67	2.39030e+10
12.17	2.49630e+10
12.67	2.60248e+10
13.17	2.70449e+10
13.72	2.81186e+10
14.22	2.91438e+10
14.78	3.02175e+10
15.34	3.12913e+10
15.84	3.23395e+10
16.34	3.34118e+10
16.90	3.44855e+10
17.40	3.55129e+10
17.90	3.65513e+10
18.42	3.74909e+10
18.93	3.84304e+10
19.43	3.93742e+10
19.95	4.03137e+10
21.13	4.06776e+10
21.63	4.17465e+10
22.13	4.28119e+10
22.63	4.38542e+10
23.13	4.49221e+10
23.63	4.59515e+10
24.13	4.70155e+10
24.63	4.80663e+10
25.13	4.91295e+10
25.68	5.02033e+10
26.18	5.11658e+10
26.68	5.21864e+10
27.18	5.32022e+10
27.73	5.42760e+10
28.23	5.53420e+10
28.73	5.63991e+10
29.29	5.74728e+10
29.79	5.85391e+10
30.29	5.95824e+10
30.84	6.06561e+10
31.34	6.16716e+10
31.84	6.27009e+10
32.34	6.37431e+10
32.84	6.47695e+10
33.34	6.58138e+10
33.84	6.68634e+10
34.34	6.78827e+10
34.84	6.89265e+10
35.34	6.99478e+10
35.84	7.09344e+10
36.34	7.18870e+10
36.90	7.29608e+10
37.40	7.39557e+10
37.90	7.49617e+10
38.40	7.59897e+10
38.90	7.70115e+10
39.40	7.80318e+10
39.90	7.90818e+10
40.40	8.01364e+10
40.90	8.11852e+10
41.40	8.22291e+10
41.90	8.32315e+10
42.40	8.42463e+10
42.90	8.53042e+10
43.40	8.63151e+10
43.90	8.73276e+10
44.40	8.83341e+10
44.90	8.93712e+10
45.40	9.03726e+10
45.90	9.14220e+10
46.40	9.24503e+10
46.90	9.34916e+10
47.40	9.45274e+10
47.90	9.55711e+10
48.40	9.66257e+10
48.90	9.76486e+10
49.40	9.87027e+10
49.90	9.97692e+10
50.40	1.00780e+11
50.90	1.01790e+11
51.45	1.02863e+11
51.95	1.03887e+11
52.45	1.04891e+11
52.95	1.05916e+11
53.45	1.06942e+11
53.95	1.07985e+11
54.45	1.09029e+11
55.01	1.10103e+11
55.51	1.11155e+11
56.01	1.12201e+11
56.51	1.13262e+11
57.01	1.14289e+11
57.51	1.15316e+11
58.01	1.16358e+11
58.51	1.17361e+11
59.07	1.18434e+11
59.57	1.19489e+11
60.13	1.20563e+11
60.63	1.21620e+11
61.19	1.22694e+11
61.74	1.23768e+11
62.24	1.24800e+11
62.74	1.25853e+11
63.30	1.26927e+11
63.85	1.28000e+11
64.35	1.29057e+11
64.85	1.30086e+11
65.35	1.31093e+11
65.85	1.32164e+11
66.35	1.33177e+11
66.91	1.34251e+11
67.41	1.35290e+11
67.91	1.36317e+11
68.41	1.37347e+11
68.91	1.38376e+11
69.41	1.39399e+11
69.91	1.40428e+11
70.41	1.41463e+11
70.91	1.42500e+11
71.41	1.43519e+11
71.91	1.44528e+11
