Horas(s)	Crifras Acumuladas
0.50	8.33885e+08
1.03	1.77341e+09
1.53	2.71293e+09
2.04	3.65246e+09
2.56	4.59198e+09
3.09	5.53151e+09
3.61	6.47103e+09
4.17	7.41055e+09
4.67	8.31722e+09
5.21	9.25675e+09
5.76	1.00621e+10
6.28	1.08674e+10
6.78	1.16140e+10
7.28	1.23836e+10
7.79	1.30547e+10
8.29	1.38394e+10
8.79	1.46447e+10
9.32	1.55842e+10
9.86	1.65237e+10
10.41	1.74633e+10
10.96	1.84028e+10
11.49	1.93423e+10
12.01	2.02818e+10
12.55	2.12214e+10
13.09	2.21609e+10
13.62	2.31004e+10
14.16	2.40399e+10
14.69	2.49795e+10
15.23	2.59190e+10
15.73	2.68223e+10
16.27	2.77618e+10
16.81	2.87014e+10
17.35	2.96409e+10
17.90	3.05804e+10
18.44	3.15199e+10
18.98	3.24595e+10
19.50	3.33990e+10
20.04	3.43385e+10
20.58	3.52780e+10
21.12	3.62176e+10
21.62	3.71484e+10
22.12	3.80832e+10
22.62	3.89888e+10
23.16	3.99283e+10
23.66	4.07805e+10
24.16	4.17193e+10
24.66	4.26316e+10
25.16	4.35623e+10
25.66	4.44942e+10
26.21	4.54337e+10
26.72	4.62391e+10
27.27	4.71786e+10
27.84	4.81181e+10
28.39	4.90576e+10
28.91	4.99972e+10
29.41	5.09351e+10
29.94	5.18746e+10
